site,variable,trend_mean,trend_slope,seasonal_amp,resid_std
site_1,burn,24.761426917989414,0.00557374338624339,6.7753019323671495,7.592790611558887
site_1,dfm1000hr,17.485401124338622,-0.0017208994708994693,2.7679657306763277,1.8500355079602708
site_1,dfm100hr,15.823651620370368,-0.0016974206349206391,4.5890728160225445,2.3642221946071573
site_1,energy_ERC,28.61587136243386,0.0063492063492063475,10.809153582930756,7.383790233199581
site_1,maxT,290.43305555555554,0.00022982804232808142,26.901042924718183,6.906427236627695
site_1,maxRelH,88.11829497354498,-0.009065310846560846,8.858007246376813,6.503687778535015
site_1,vaporDeficit,0.7419598875661375,7.979497354497356e-05,1.0951646286231884,0.34764560792254084
site_1,minT,277.9794619708995,0.0006304563492064864,24.93202596618357,6.399019699750875
site_1,minRelH,42.62837764550264,0.0001030092592592558,13.221666666666664,9.611154842686714
site_1,specificH,0.006664301008597883,-6.767361111111109e-07,0.009597471844806763,0.002706789105457009
site_1,precipitation,2.3408677248677248,0.00042460317460317465,3.5123852657004826,2.386089653748759
site_1,alfalfa,4.588301421957672,0.0002344576719576716,5.626861413043478,1.6109398728377167
site_1,grass,3.349694113756614,0.00013574735449735457,4.494245420692431,1.192108596489758
site_1,sunshine,180.68909341931214,0.005005952380952362,170.9551980173108,44.27581501253717
site_1,windDirection,184.1805357142857,0.0048098544973545106,55.38650110708534,37.4362692799844
site_1,windSpeed,4.352776785714285,0.00012318121693121663,0.9921336553945248,0.6732598528461486
site_1,palmer_p,4.475719246031745,-0.0004629629629629624,0.3960346215780999,0.6443543572328811
site_1,palmer_z,4.876074735449735,-5.78703703703699e-05,1.1367753623188406,1.1572247300418155
site_2,burn,24.671347552910053,0.005216600529100532,6.605434782608697,7.488345936026401
site_2,dfm1000hr,17.500560515873016,-0.0018829365079365084,2.7803044484702095,1.826823281155379
site_2,dfm100hr,15.842226355820108,-0.001842592592592591,4.610206068840579,2.351559281672662
site_2,energy_ERC,28.53525297619047,0.006636904761904757,10.987489935587762,7.295295011752654
site_2,maxT,290.46887499999997,0.00026124338624337423,26.9778291062802,6.916350895660751
site_2,maxRelH,88.2328414351852,-0.00955324074074076,8.718272946859903,6.4350408462400726
site_2,vaporDeficit,0.7450225859788359,8.528439153439157e-05,1.1077371678743964,0.3495380077113583
site_2,minT,278.01215029761903,0.0007533068783069601,24.895363325281792,6.407701354210359
site_2,minRelH,42.63358167989417,-0.00012417328042328026,13.15463164251208,9.560585218063581
site_2,specificH,0.00665892490079365,-6.89963624338624e-07,0.0095268416113124,0.0026898407656154363
site_2,precipitation,2.3428088624338623,0.0004477513227513227,3.5266908212560386,2.407242378664148
site_2,alfalfa,4.600372023809523,0.0002662037037037041,5.663591737117552,1.6208848739870443
site_2,grass,3.355168816137566,0.00015195105820105817,4.506810587761675,1.1987000056623223
site_2,sunshine,180.51439103835978,0.004884589947089914,170.73689663848631,44.24133527847035
site_2,windDirection,185.02182705026453,0.0004563492063491973,53.307062701288245,37.562827873668446
site_2,windSpeed,4.363613260582011,0.00013409391534391674,0.9902395330112721,0.6756033003714071
site_2,palmer_p,4.566493055555555,-0.0003720238095238095,0.3285024154589372,0.6224385668936188
site_2,palmer_z,4.9034556878306885,7.440476190476191e-05,1.053442028985507,1.148411937337053
site_3,burn,25.519742063492068,0.0047900132275132245,6.499214975845411,7.825172875166025
site_3,dfm1000hr,17.47255753968254,-0.0016101190476190466,2.7785653180354264,1.811074424348224
site_3,dfm100hr,15.832010747354497,-0.0015849867724867718,4.661418327294685,2.3325035211253287
site_3,energy_ERC,28.66757275132275,0.005859788359788363,10.820106179549114,7.278399213435955
site_3,maxT,290.58403158068785,0.00046246693121706323,27.042965730676336,6.9484690267596445
site_3,maxRelH,88.48483713624339,-0.008058697089947097,8.855513285024152,6.365628574158009
